dayonly,cnt
2015-11-06,47875
2015-11-07,36124
2015-11-08,32839
2015-11-09,42841
2015-11-10,21948
2015-11-11,38249
2015-11-12,37881
2015-11-13,39527
2015-11-14,25667
2015-11-15,26391
2015-11-16,41634
2015-11-17,39533
2015-11-18,42096
2015-11-19,22264
2015-11-20,38830
2015-11-21,28445
2015-11-22,23691
2015-11-23,30619
2015-11-24,32701
2015-11-25,30762
2015-11-26,13513
2015-11-27,23214
2015-11-28,16086
2015-11-29,18695
2015-11-30,30703
2015-12-01,18692
2015-12-02,24118
2015-12-03,34399
2015-12-04,35265
2015-12-05,26740
2015-12-06,25271
2015-12-07,34640
2015-12-08,36105
2015-12-09,35797
2015-12-10,39624
2015-12-11,39556
2015-12-12,32388
2015-12-13,32427
2015-12-14,33002
2015-12-15,39211
2015-12-16,36172
2015-12-17,22320
2015-12-18,31177
2015-12-19,18038
2015-12-20,17269
2015-12-21,30270
2015-12-22,23324
2015-12-23,15069
2015-12-24,18725
2015-12-25,12538
2015-12-26,14117
2015-12-27,13402
2015-12-28,19175
2015-12-29,13560
2015-12-30,22852
2015-12-31,20720
2016-01-01,11172
2016-01-02,14794
2016-01-03,15775
2016-01-04,19879
2016-01-05,18326
2016-01-06,24922
2016-01-07,28215
2016-01-08,29131
2016-01-09,21140
2016-01-10,14481
2016-01-11,23276
2016-01-12,25578
2016-01-13,21458
2016-01-14,24121
2016-01-15,28862
2016-01-16,19466
2016-01-17,12188
2016-01-18,12878
2016-01-19,17550
2016-01-20,23787
2016-01-21,24022
2016-01-22,21243
2016-01-27,6854
2016-01-28,12149
2016-01-29,16252
2016-01-30,13122
2016-01-31,16316
2016-02-01,24689
2016-02-02,28939
2016-02-03,16470
2016-02-04,28144
2016-02-05,13847
2016-02-06,17157
2016-02-07,17838
2016-02-08,19329
2016-02-09,23038
2016-02-10,22725
2016-02-11,19016
2016-02-12,16698
2016-02-13,6688
2016-02-14,4713
2016-02-15,5975
2016-02-16,14764
2016-02-17,23925
2016-02-18,22601
2016-02-19,22289
2016-02-20,24826
2016-02-21,20356
2016-02-22,28670
2016-02-23,16428
2016-02-24,9931
2016-02-25,25474
2016-02-26,22918
2016-02-27,17463
2016-02-28,25854
2016-02-29,28359
2016-03-01,30950
2016-03-02,26554
2016-03-03,24421
2016-03-04,17611
2016-03-05,18276
2016-03-06,19077
2016-03-07,31934
2016-03-08,37041
2016-03-09,42108
2016-03-10,42874
2016-03-11,38727
2016-03-12,33212
2016-03-13,27955
2016-03-14,11143
2016-03-15,32109
2016-03-16,36592
2016-03-17,35955
2016-03-18,35176
2016-03-19,24409
2016-03-20,16951
2016-03-21,26830
2016-03-22,33995
2016-03-23,41566
2016-03-24,37048
2016-03-25,34575
2016-03-26,27861
2016-03-27,22787
2016-03-28,20651
2016-03-29,31919
2016-03-30,34202
2016-03-31,38923
2016-04-01,34972
2016-04-02,22156
2016-04-03,15526
2016-04-04,12557
2016-04-05,26660
2016-04-06,29828
2016-04-07,30879
2016-04-08,31273
2016-04-09,12903
2016-04-10,23499
2016-04-11,32563
2016-04-12,24196
2016-04-13,38134
2016-04-14,39098
2016-04-15,40270
2016-04-16,36690
2016-04-17,39535
2016-04-18,44700
2016-04-19,46779
2016-04-20,45231
2016-04-21,46307
2016-04-22,49647
2016-04-23,34203
2016-04-24,38492
2016-04-25,43049
2016-04-26,35307
2016-04-27,42668
2016-04-28,38060
2016-04-29,35436
2016-04-30,38873
2016-05-01,10883
2016-05-02,39138
2016-05-03,23289
2016-05-04,32193
2016-05-05,40527
2016-05-06,19198
2016-05-07,31528
2016-05-08,31617
2016-05-09,46501
2016-05-10,45538
2016-05-11,51929
2016-05-12,53096
2016-05-13,32942
2016-05-14,42751
2016-05-15,29101
2016-05-16,43490
2016-05-17,44112
2016-05-18,45502
2016-05-19,49978
2016-05-20,53277
2016-05-21,30921
2016-05-22,38428
2016-05-23,49383
2016-05-24,35479
2016-05-25,54333
2016-05-26,52950
2016-05-27,47683
2016-05-28,34750
2016-05-29,37508
2016-05-30,33169
2016-05-31,50574
2016-06-01,55507
2016-06-02,55237
2016-06-03,39596
2016-06-04,41567
2016-06-05,22814
2016-06-06,52956
2016-06-07,52677
2016-06-08,42943
2016-06-09,53706
2016-06-10,54151
2016-06-11,41647
2016-06-12,41325
2016-06-13,49897
2016-06-14,55680
2016-06-15,55934
2016-06-16,46983
2016-06-17,55148
2016-06-18,49650
2016-06-19,46104
2016-06-20,53140
2016-06-21,54439
2016-06-22,56698
2016-06-23,54127
2016-06-24,55113
2016-06-25,43751
2016-06-26,43671
2016-06-27,47854
2016-06-28,50436
2016-06-29,55805
2016-06-30,55709
2016-07-01,40378
2016-07-02,36404
2016-07-03,35976
2016-07-04,35602
2016-07-05,44564
2016-07-06,52250
2016-07-07,49617
2016-07-08,45202
2016-07-09,38749
2016-07-10,42702
2016-07-11,53691
2016-07-12,57497
2016-07-13,56420
2016-07-14,51233
2016-07-15,49417
2016-07-16,38995
2016-07-17,42053
2016-07-18,44455
2016-07-19,55457
2016-07-20,58155
2016-07-21,55802
2016-07-22,50082
2016-07-23,38201
2016-07-24,40363
2016-07-25,36056
2016-07-26,53921
2016-07-27,55142
2016-07-28,51041
2016-07-29,38472
2016-07-30,28355
2016-07-31,28294
2016-08-01,50423
2016-08-02,57899
2016-08-03,58188
2016-08-04,57845
2016-08-05,54489
2016-08-06,45084
2016-08-07,44579
2016-08-08,53414
2016-08-09,57340
2016-08-10,51249
2016-08-11,48519
2016-08-12,45823
2016-08-13,39622
2016-08-14,33716
2016-08-15,50302
2016-08-16,51494
2016-08-17,55266
2016-08-18,54446
2016-08-19,52786
2016-08-20,46704
2016-08-21,35668
2016-08-22,55575
2016-08-23,59799
2016-08-24,59380
2016-08-25,54702
2016-08-26,53321
2016-08-27,46818
2016-08-28,45847
2016-08-29,54435
2016-08-30,58672
2016-08-31,58407
2016-09-01,39102
2016-09-02,54202
2016-09-03,42477
2016-09-04,46935
2016-09-05,46379
2016-09-06,53667
2016-09-07,61801
2016-09-08,62880
2016-09-09,58059
2016-09-10,49400
2016-09-11,53148
2016-09-12,62351
2016-09-13,66210
2016-09-14,60428
2016-09-15,68658
2016-09-16,66584
2016-09-17,60177
2016-09-18,52646
2016-09-19,34919
2016-09-20,66172
2016-09-21,66708
2016-09-22,69138
2016-09-23,66838
2016-09-24,54236
2016-09-25,54617
2016-09-26,62645
2016-09-27,62613
2016-09-28,60706
2016-09-29,56722
2016-09-30,21863
2016-10-01,40551
2016-10-02,41777
2016-10-03,57525
2016-10-04,61640
2016-10-05,66330
2016-10-06,68767
2016-10-07,67095
2016-10-08,35256
2016-10-09,22076
2016-10-10,53303
2016-10-11,59900
2016-10-12,58961
2016-10-13,62395
2016-10-14,61700
2016-10-15,52921
2016-10-16,49653
2016-10-17,63907
2016-10-18,69469
2016-10-19,70991
2016-10-20,64887
2016-10-21,41674
2016-10-22,25739
2016-10-23,42117
2016-10-24,56384
2016-10-25,53693
2016-10-26,53452
2016-10-27,21560
2016-10-28,47121
2016-10-29,43165
2016-10-30,38388
2016-10-31,51086
2016-11-01,56983
2016-11-02,63234
2016-11-03,60628
2016-11-04,58887
2016-11-05,49463
2016-11-06,40129
2016-11-07,50788
2016-11-08,57591
2016-11-09,38789
2016-11-10,51793
2016-11-11,46640
2016-11-12,35240
2016-11-13,37430
2016-11-14,49787
2016-11-15,23316
2016-11-16,54328
2016-11-17,54894
2016-11-18,54311
2016-11-19,41977
2016-11-20,20952
2016-11-21,33649
2016-11-22,37480
2016-11-23,35209
2016-11-24,12369
2016-11-25,21404
2016-11-26,24255
2016-11-27,24520
2016-11-28,42808
2016-11-29,14952
2016-11-30,24968
2016-12-01,44025
2016-12-02,43125
2016-12-03,30325
2016-12-04,27889
2016-12-05,36572
2016-12-06,33943
2016-12-07,38730
2016-12-08,40320
2016-12-09,34213
2016-12-10,22746
2016-12-11,18098
2016-12-12,29577
2016-12-13,39757
2016-12-14,38506
2016-12-15,25538
2016-12-16,25014
2016-12-17,7109
2016-12-18,16552
2016-12-19,26128
2016-12-20,28236
2016-12-21,31187
2016-12-22,31499
2016-12-23,26843
2016-12-24,8190
2016-12-25,10131
2016-12-26,10998
2016-12-27,26535
2016-12-28,24079
2016-12-29,13476
2016-12-30,21754
2016-12-31,16211
2017-01-01,16281
2017-01-02,9065
2017-01-03,14546
2017-01-04,34673
2017-01-05,28945
2017-01-06,24612
2017-01-07,4497
2017-01-08,6522
2017-01-09,16174
2017-01-10,23637
2017-01-11,32988
2017-01-12,40438
2017-01-13,34212
2017-01-14,14054
2017-01-15,17668
2017-01-16,24545
2017-01-17,19039
2017-01-18,31411
2017-01-19,37163
2017-01-20,27275
2017-01-21,27016
2017-01-22,20879
2017-01-23,16092
2017-01-24,13431
2017-01-25,37571
2017-01-26,33578
2017-01-27,32971
2017-01-28,21627
2017-01-29,22870
2017-01-30,30169
2017-01-31,25653
2017-02-01,35790
2017-02-02,35097
2017-02-03,30196
2017-02-04,19582
2017-02-05,20384
2017-02-06,34030
2017-02-07,23531
2017-02-08,41127
2017-02-10,2049
2017-02-11,9169
2017-02-12,5876
2017-02-13,24181
2017-02-14,30222
2017-02-15,32572
2017-02-16,29670
2017-02-17,29233
2017-02-18,31072
2017-02-19,37616
2017-02-20,32863
2017-02-21,33271
2017-02-22,38803
2017-02-23,43153
2017-02-24,47791
2017-02-25,33997
2017-02-26,25130
2017-02-27,36673
2017-02-28,42595
2017-03-01,41350
2017-03-02,36393
2017-03-03,31709
2017-03-04,15908
2017-03-05,16214
2017-03-06,33088
2017-03-07,30239
2017-03-08,44202
2017-03-09,45972
2017-03-10,18731
2017-03-11,15446
2017-03-12,13688
2017-03-13,27887
2017-03-17,7099
2017-03-18,4137
2017-03-19,10653
2017-03-20,27722
2017-03-21,37452
2017-03-22,27396
2017-03-23,30428
2017-03-24,34602
2017-03-25,30129
2017-03-26,20201
2017-03-27,26727
2017-03-28,21960
2017-03-29,43057
2017-03-30,40368
2017-03-31,7108
2017-04-01,24205
2017-04-02,40397
2017-04-03,44111
2017-04-04,30505
2017-04-05,48355
