dayhour,cnt
2013-07-19 12,1165
2013-07-19 13,1395
2013-07-19 14,1317
2013-07-19 15,1491
2013-07-19 16,1948
2013-07-19 17,2519
2013-07-19 18,2358
2013-07-19 19,1843
2013-07-19 20,1389
2013-07-19 21,971
2013-07-19 22,789
2013-07-19 23,710
2013-07-20 00,493
2013-07-20 01,335
2013-07-20 02,210
2013-07-20 03,173
2013-07-20 04,82
2013-07-20 05,52
2013-07-20 06,172
2013-07-20 07,311
2013-07-20 08,606
2013-07-20 09,947
2013-07-20 10,1312
2013-07-20 11,1717
2013-07-20 12,1970
2013-07-20 13,1945
2013-07-20 14,2034
2013-07-20 15,2136
2013-07-20 16,2155
2013-07-20 17,1958
2013-07-20 18,1541
2013-07-20 19,1606
2013-07-20 20,1321
2013-07-20 21,786
2013-07-20 22,754
2013-07-20 23,662
2013-07-21 00,525
2013-07-21 01,423
2013-07-21 02,242
2013-07-21 03,171
2013-07-21 04,89
2013-07-21 05,54
2013-07-21 06,141
2013-07-21 07,224
2013-07-21 08,520
2013-07-21 09,892
2013-07-21 10,1339
2013-07-21 11,1742
2013-07-21 12,2085
2013-07-21 13,2349
2013-07-21 14,2419
2013-07-21 15,2473
2013-07-21 16,2622
2013-07-21 17,2668
2013-07-21 18,2570
2013-07-21 19,2121
2013-07-21 20,1838
2013-07-21 21,1234
2013-07-21 22,951
2013-07-21 23,605
2013-07-22 00,273
