dayhour,cnt
2018-01-30 07,1297
2018-01-30 08,2508
2018-01-30 09,1994
2018-01-30 10,1201
2018-01-30 11,1110
2018-01-30 12,1289
2018-01-30 13,1372
2018-01-30 14,1416
2018-01-30 15,1656
2018-01-30 16,2110
2018-01-30 17,3259
2018-01-30 18,3215
2018-01-30 19,1998
2018-01-30 20,1244
2018-01-30 21,822
2018-01-30 22,597
2018-01-30 23,291
2018-01-31 00,139
2018-01-31 01,61
2018-01-31 02,20
2018-01-31 03,15
2018-01-31 04,52
2018-01-31 05,304
2018-01-31 06,959
2018-01-31 07,1995
2018-01-31 08,3555
2018-01-31 09,2435
2018-01-31 10,1267
2018-01-31 11,1086
2018-01-31 12,1335
2018-01-31 13,1428
2018-01-31 14,1500
2018-01-31 15,1640
2018-01-31 16,2061
2018-01-31 17,3276
2018-01-31 18,3204
2018-01-31 19,2131
2018-01-31 20,1371
2018-01-31 21,926
2018-01-31 22,670
2018-01-31 23,371
2018-02-01 00,186
2018-02-01 01,88
2018-02-01 02,45
2018-02-01 03,29
2018-02-01 04,39
2018-02-01 05,303
2018-02-01 06,1072
2018-02-01 07,2354
2018-02-01 08,4162
2018-02-01 09,2843
2018-02-01 10,1391
2018-02-01 11,1355
2018-02-01 12,1668
2018-02-01 13,1615
2018-02-01 14,1733
2018-02-01 15,1876
2018-02-01 16,2389
2018-02-01 17,3737
2018-02-01 18,3470
2018-02-01 19,2228
2018-02-01 20,1476
2018-02-01 21,1171
2018-02-01 22,676
2018-02-01 23,266
2018-02-02 00,143
2018-02-02 01,46
2018-02-02 02,17
2018-02-02 03,27
2018-02-02 04,41
2018-02-02 05,255
2018-02-02 06,873
2018-02-02 07,1846
2018-02-02 08,3377
2018-02-02 09,2510
2018-02-02 10,1251
2018-02-02 11,1175
2018-02-02 12,1280
2018-02-02 13,1263
2018-02-02 14,1333
2018-02-02 15,1425
2018-02-02 16,1857
2018-02-02 17,2650
2018-02-02 18,2146
2018-02-02 19,1291
2018-02-02 20,793
2018-02-02 21,502
2018-02-02 22,406
2018-02-02 23,300
2018-02-03 00,178
2018-02-03 01,126
2018-02-03 02,72
2018-02-03 03,56
2018-02-03 04,35
2018-02-03 05,46
2018-02-03 06,125
2018-02-03 07,338
2018-02-03 08,600
2018-02-03 09,924
2018-02-03 10,1249
2018-02-03 11,1439
2018-02-03 12,1603
2018-02-03 13,1647
2018-02-03 14,1572
2018-02-03 15,1638
2018-02-03 16,1562
2018-02-03 17,1392
2018-02-03 18,1125
2018-02-03 19,966
2018-02-03 20,691
2018-02-03 21,519
2018-02-03 22,479
2018-02-03 23,304
2018-02-04 00,267
2018-02-04 01,165
2018-02-04 02,106
2018-02-04 03,66
2018-02-04 04,32
2018-02-04 05,31
2018-02-04 06,89
2018-02-04 07,255
2018-02-04 08,648
2018-02-04 09,1023
2018-02-04 10,1422
2018-02-04 11,1750
2018-02-04 12,1616
2018-02-04 13,1325
2018-02-04 14,1429
2018-02-04 15,1244
2018-02-04 16,1001
2018-02-04 17,522
2018-02-04 18,347
2018-02-04 19,156
2018-02-04 20,107
2018-02-04 21,83
2018-02-04 22,307
2018-02-04 23,243
2018-02-05 00,132
2018-02-05 01,53
2018-02-05 02,20
2018-02-05 03,30
2018-02-05 04,36
2018-02-05 05,289
2018-02-05 06,903
2018-02-05 07,2103
2018-02-05 08,3148
2018-02-05 09,2336
2018-02-05 10,1117
2018-02-05 11,980
2018-02-05 12,1163
2018-02-05 13,1198
2018-02-05 14,1264
2018-02-05 15,1429
2018-02-05 16,1875
2018-02-05 17,3227
2018-02-05 18,3278
2018-02-05 19,1996
2018-02-05 20,1294
2018-02-05 21,894
2018-02-05 22,549
2018-02-05 23,313
2018-02-06 00,133
2018-02-06 01,60
2018-02-06 02,31
2018-02-06 03,14
2018-02-06 04,55
2018-02-06 05,323
2018-02-06 06,1144
2018-02-06 07,2478
2018-02-06 08,4050
2018-02-06 09,2613
2018-02-06 10,1255
2018-02-06 11,1167
2018-02-06 12,1304
2018-02-06 13,1373
2018-02-06 14,1515
2018-02-06 15,1677
2018-02-06 16,2125
2018-02-06 17,3668
2018-02-06 18,3613
2018-02-06 19,2320
2018-02-06 20,1551
2018-02-06 21,1113
2018-02-06 22,746
2018-02-06 23,415
2018-02-07 00,180
2018-02-07 01,80
2018-02-07 02,43
2018-02-07 03,24
2018-02-07 04,41
2018-02-07 05,323
2018-02-07 06,1055
2018-02-07 07,2213
2018-02-07 08,2567
2018-02-07 09,1023
2018-02-07 10,432
2018-02-07 11,367
2018-02-07 12,320
2018-02-07 13,258
2018-02-07 14,291
2018-02-07 15,376
2018-02-07 16,503
2018-02-07 17,752
2018-02-07 18,1102
2018-02-07 19,1280
2018-02-07 20,764
2018-02-07 21,669
2018-02-07 22,592
2018-02-07 23,348
2018-02-08 00,156
2018-02-08 01,85
2018-02-08 02,30
2018-02-08 03,17
2018-02-08 04,41
2018-02-08 05,319
2018-02-08 06,959
2018-02-08 07,2041
2018-02-08 08,3626
2018-02-08 09,2426
2018-02-08 10,1315
2018-02-08 11,1153
2018-02-08 12,1406
2018-02-08 13,1351
2018-02-08 14,1531
2018-02-08 15,1636
2018-02-08 16,2033
2018-02-08 17,3384
2018-02-08 18,3124
2018-02-08 19,2065
2018-02-08 20,1408
2018-02-08 21,976
2018-02-08 22,678
2018-02-08 23,395
2018-02-09 00,159
2018-02-09 01,75
2018-02-09 02,39
2018-02-09 03,36
2018-02-09 04,58
2018-02-09 05,266
2018-02-09 06,947
2018-02-09 07,2013
2018-02-09 08,3667
2018-02-09 09,2505
2018-02-09 10,1287
2018-02-09 11,1261
2018-02-09 12,1442
2018-02-09 13,1575
2018-02-09 14,1604
2018-02-09 15,1798
2018-02-09 16,2262
2018-02-09 17,3372
2018-02-09 18,2751
2018-02-09 19,1836
2018-02-09 20,1219
2018-02-09 21,810
2018-02-09 22,650
2018-02-09 23,516
2018-02-10 00,360
2018-02-10 01,230
2018-02-10 02,155
2018-02-10 03,89
2018-02-10 04,70
2018-02-10 05,81
2018-02-10 06,190
2018-02-10 07,464
2018-02-10 08,982
2018-02-10 09,1533
2018-02-10 10,1956
2018-02-10 11,2335
2018-02-10 12,1745
2018-02-10 13,1096
2018-02-10 14,573
2018-02-10 15,591
2018-02-10 16,1051
2018-02-10 17,1152
2018-02-10 18,714
2018-02-10 19,265
2018-02-10 20,218
2018-02-10 21,193
2018-02-10 22,286
2018-02-10 23,259
2018-02-11 00,131
2018-02-11 01,97
2018-02-11 02,73
2018-02-11 03,48
2018-02-11 04,29
2018-02-11 05,22
2018-02-11 06,47
2018-02-11 07,111
2018-02-11 08,197
2018-02-11 09,254
2018-02-11 10,447
2018-02-11 11,476
2018-02-11 12,475
2018-02-11 13,267
2018-02-11 14,463
2018-02-11 15,640
2018-02-11 16,742
2018-02-11 17,676
2018-02-11 18,936
2018-02-11 19,779
2018-02-11 20,672
2018-02-11 21,593
2018-02-11 22,465
2018-02-11 23,320
2018-02-12 00,170
2018-02-12 01,80
2018-02-12 02,46
2018-02-12 03,32
2018-02-12 04,67
2018-02-12 05,361
2018-02-12 06,1150
2018-02-12 07,2405
2018-02-12 08,3966
2018-02-12 09,2443
2018-02-12 10,1219
2018-02-12 11,1204
2018-02-12 12,1525
2018-02-12 13,1546
2018-02-12 14,1667
2018-02-12 15,1779
2018-02-12 16,2399
2018-02-12 17,3936
2018-02-12 18,3779
2018-02-12 19,2457
2018-02-12 20,1588
2018-02-12 21,1046
2018-02-12 22,646
2018-02-12 23,317
2018-02-13 00,157
2018-02-13 01,66
2018-02-13 02,26
2018-02-13 03,27
2018-02-13 04,45
2018-02-13 05,311
2018-02-13 06,1106
2018-02-13 07,2370
2018-02-13 08,4122
2018-02-13 09,2661
2018-02-13 10,1389
2018-02-13 11,1212
2018-02-13 12,1530
2018-02-13 13,1617
2018-02-13 14,1653
2018-02-13 15,1786
2018-02-13 16,2250
2018-02-13 17,3733
2018-02-13 18,3572
2018-02-13 19,2329
2018-02-13 20,1580
2018-02-13 21,1112
2018-02-13 22,711
2018-02-13 23,462
2018-02-14 00,192
2018-02-14 01,81
2018-02-14 02,45
2018-02-14 03,30
2018-02-14 04,45
2018-02-14 05,317
2018-02-14 06,1189
2018-02-14 07,2499
2018-02-14 08,4336
2018-02-14 09,3006
2018-02-14 10,1646
2018-02-14 11,1511
2018-02-14 12,1830
2018-02-14 13,1886
2018-02-14 14,2013
2018-02-14 15,2248
2018-02-14 16,2803
2018-02-14 17,4685
2018-02-14 18,4193
2018-02-14 19,2493
2018-02-14 20,1502
2018-02-14 21,1006
2018-02-14 22,567
2018-02-14 23,177
2018-02-15 00,164
2018-02-15 01,84
2018-02-15 02,43
2018-02-15 03,27
2018-02-15 04,53
2018-02-15 05,344
2018-02-15 06,1203
2018-02-15 07,2816
2018-02-15 08,5021
2018-02-15 09,3336
2018-02-15 10,1841
2018-02-15 11,1665
2018-02-15 12,2033
2018-02-15 13,2035
2018-02-15 14,2218
2018-02-15 15,2453
2018-02-15 16,3045
2018-02-15 17,4940
2018-02-15 18,4517
2018-02-15 19,3089
2018-02-15 20,2150
2018-02-15 21,1036
2018-02-15 22,498
2018-02-15 23,285
2018-02-16 00,194
2018-02-16 01,112
2018-02-16 02,59
2018-02-16 03,39
2018-02-16 04,49
2018-02-16 05,218
2018-02-16 06,632
2018-02-16 07,1157
2018-02-16 08,2989
2018-02-16 09,2871
2018-02-16 10,1799
2018-02-16 11,1660
2018-02-16 12,2033
2018-02-16 13,2071
2018-02-16 14,1700
2018-02-16 15,1079
2018-02-16 16,1174
2018-02-16 17,2746
2018-02-16 18,2694
2018-02-16 19,1665
2018-02-16 20,1055
2018-02-16 21,742
2018-02-16 22,559
2018-02-16 23,417
2018-02-17 00,273
2018-02-17 01,193
2018-02-17 02,97
2018-02-17 03,65
2018-02-17 04,44
2018-02-17 05,56
2018-02-17 06,164
2018-02-17 07,374
2018-02-17 08,746
2018-02-17 09,1165
2018-02-17 10,1488
2018-02-17 11,1828
2018-02-17 12,2181
2018-02-17 13,1994
2018-02-17 14,1860
2018-02-17 15,1818
2018-02-17 16,1581
2018-02-17 17,1027
2018-02-17 18,537
2018-02-17 19,264
2018-02-17 20,156
2018-02-17 21,116
2018-02-17 22,112
2018-02-17 23,113
2018-02-18 00,85
2018-02-18 01,99
2018-02-18 02,59
2018-02-18 03,51
2018-02-18 04,27
2018-02-18 05,44
2018-02-18 06,72
2018-02-18 07,190
2018-02-18 08,444
2018-02-18 09,712
2018-02-18 10,1136
2018-02-18 11,1492
2018-02-18 12,1812
2018-02-18 13,2199
2018-02-18 14,2092
2018-02-18 15,2223
2018-02-18 16,2220
2018-02-18 17,1975
2018-02-18 18,1437
2018-02-18 19,1102
2018-02-18 20,826
2018-02-18 21,658
2018-02-18 22,507
2018-02-18 23,422
2018-02-19 00,249
2018-02-19 01,121
2018-02-19 02,69
2018-02-19 03,54
2018-02-19 04,38
2018-02-19 05,120
2018-02-19 06,340
2018-02-19 07,691
2018-02-19 08,1506
2018-02-19 09,1594
2018-02-19 10,1703
2018-02-19 11,1957
2018-02-19 12,2072
2018-02-19 13,2155
2018-02-19 14,2162
2018-02-19 15,2263
2018-02-19 16,2141
2018-02-19 17,1871
2018-02-19 18,1431
2018-02-19 19,1131
2018-02-19 20,756
2018-02-19 21,746
2018-02-19 22,538
2018-02-19 23,357
2018-02-20 00,163
2018-02-20 01,86
2018-02-20 02,53
2018-02-20 03,22
2018-02-20 04,60
2018-02-20 05,327
2018-02-20 06,1040
2018-02-20 07,2234
2018-02-20 08,3971
2018-02-20 09,2940
2018-02-20 10,1562
2018-02-20 11,1443
2018-02-20 12,1871
2018-02-20 13,2077
2018-02-20 14,2235
2018-02-20 15,2455
2018-02-20 16,3293
2018-02-20 17,5475
2018-02-20 18,5071
2018-02-20 19,3351
2018-02-20 20,2306
2018-02-20 21,1569
2018-02-20 22,1069
2018-02-20 23,586
2018-02-21 00,282
2018-02-21 01,131
2018-02-21 02,87
2018-02-21 03,38
2018-02-21 04,64
2018-02-21 05,399
2018-02-21 06,1351
2018-02-21 07,2851
2018-02-21 08,5169
2018-02-21 09,3673
2018-02-21 10,2086
2018-02-21 11,2025
2018-02-21 12,2504
2018-02-21 13,2791
2018-02-21 14,2907
2018-02-21 15,3190
2018-02-21 16,3970
2018-02-21 17,6353
2018-02-21 18,5489
2018-02-21 19,3588
2018-02-21 20,2262
2018-02-21 21,1156
2018-02-21 22,983
2018-02-21 23,649
2018-02-22 00,312
2018-02-22 01,160
2018-02-22 02,77
2018-02-22 03,58
2018-02-22 04,59
2018-02-22 05,329
2018-02-22 06,1174
2018-02-22 07,1720
2018-02-22 08,3694
2018-02-22 09,2757
2018-02-22 10,1447
2018-02-22 11,1334
2018-02-22 12,1511
2018-02-22 13,1110
2018-02-22 14,772
2018-02-22 15,781
2018-02-22 16,617
2018-02-22 17,1295
2018-02-22 18,2455
2018-02-22 19,2070
2018-02-22 20,1421
2018-02-22 21,1051
2018-02-22 22,822
2018-02-22 23,512
2018-02-23 00,287
2018-02-23 01,143
2018-02-23 02,74
2018-02-23 03,51
2018-02-23 04,53
2018-02-23 05,336
2018-02-23 06,1029
2018-02-23 07,2023
2018-02-23 08,3071
2018-02-23 09,1981
2018-02-23 10,949
2018-02-23 11,911
2018-02-23 12,1127
2018-02-23 13,1139
2018-02-23 14,1159
2018-02-23 15,1318
2018-02-23 16,1546
2018-02-23 17,2019
2018-02-23 18,1942
2018-02-23 19,1715
2018-02-23 20,1207
2018-02-23 21,884
2018-02-23 22,668
2018-02-23 23,540
2018-02-24 00,422
2018-02-24 01,243
2018-02-24 02,156
2018-02-24 03,119
2018-02-24 04,72
2018-02-24 05,85
2018-02-24 06,243
2018-02-24 07,532
2018-02-24 08,1105
2018-02-24 09,1837
2018-02-24 10,2368
2018-02-24 11,2821
2018-02-24 12,2832
2018-02-24 13,2711
2018-02-24 14,2512
2018-02-24 15,906
2018-02-24 16,1218
2018-02-24 17,1240
2018-02-24 18,1313
2018-02-24 19,1070
2018-02-24 20,806
2018-02-24 21,486
2018-02-24 22,437
2018-02-24 23,440
2018-02-25 00,371
2018-02-25 01,253
2018-02-25 02,168
2018-02-25 03,85
2018-02-25 04,22
2018-02-25 05,13
2018-02-25 06,23
2018-02-25 07,85
2018-02-25 08,222
2018-02-25 09,367
2018-02-25 10,464
2018-02-25 11,580
2018-02-25 12,890
2018-02-25 13,1058
2018-02-25 14,1297
2018-02-25 15,1580
2018-02-25 16,1794
2018-02-25 17,1701
2018-02-25 18,1536
2018-02-25 19,1292
2018-02-25 20,947
2018-02-25 21,769
2018-02-25 22,562
2018-02-25 23,340
2018-02-26 00,187
2018-02-26 01,92
2018-02-26 02,39
2018-02-26 03,27
2018-02-26 04,49
2018-02-26 05,357
2018-02-26 06,1343
2018-02-26 07,2792
2018-02-26 08,4617
2018-02-26 09,2910
2018-02-26 10,1502
2018-02-26 11,1398
2018-02-26 12,1732
2018-02-26 13,1813
2018-02-26 14,2000
2018-02-26 15,2144
2018-02-26 16,2841
2018-02-26 17,4993
2018-02-26 18,4774
2018-02-26 19,3032
2018-02-26 20,2027
2018-02-26 21,1345
2018-02-26 22,919
2018-02-26 23,471
2018-02-27 00,215
2018-02-27 01,89
2018-02-27 02,34
2018-02-27 03,31
2018-02-27 04,59
2018-02-27 05,380
2018-02-27 06,1429
2018-02-27 07,3173
2018-02-27 08,5485
2018-02-27 09,3546
2018-02-27 10,1836
2018-02-27 11,1813
2018-02-27 12,2202
2018-02-27 13,2340
2018-02-27 14,2378
2018-02-27 15,2665
2018-02-27 16,3268
2018-02-27 17,5165
2018-02-27 18,5086
2018-02-27 19,3207
2018-02-27 20,1994
2018-02-27 21,1468
2018-02-27 22,985
2018-02-27 23,530
2018-02-28 00,283
2018-02-28 01,137
2018-02-28 02,73
2018-02-28 03,36
2018-02-28 04,66
2018-02-28 05,391
2018-02-28 06,1456
2018-02-28 07,3234
2018-02-28 08,5608
2018-02-28 09,3613
2018-02-28 10,1889
2018-02-28 11,1729
2018-02-28 12,2212
2018-02-28 13,2366
2018-02-28 14,2478
2018-02-28 15,2644
2018-02-28 16,3432
2018-02-28 17,5822
2018-02-28 18,5101
2018-02-28 19,3332
2018-02-28 20,2239
2018-02-28 21,1604
2018-02-28 22,1156
2018-02-28 23,686
2018-03-01 00,335
2018-03-01 01,149
2018-03-01 02,88
2018-03-01 03,32
2018-03-01 04,72
2018-03-01 05,383
2018-03-01 06,1437
2018-03-01 07,3271
2018-03-01 08,5796
2018-03-01 09,3739
2018-03-01 10,2149
2018-03-01 11,1941
2018-03-01 12,2220
2018-03-01 13,2327
2018-03-01 14,2420
2018-03-01 15,2643
2018-03-01 16,3302
2018-03-01 17,4966
2018-03-01 18,4667
2018-03-01 19,2666
2018-03-01 20,1208
2018-03-01 21,273
2018-03-01 22,188
2018-03-01 23,101
2018-03-02 00,30
2018-03-02 01,34
2018-03-02 02,3
2018-03-02 03,5
2018-03-02 04,15
2018-03-02 05,97
2018-03-02 06,270
2018-03-02 07,457
2018-03-02 08,708
2018-03-02 09,449
2018-03-02 10,260
2018-03-02 11,186
2018-03-02 12,181
2018-03-02 13,203
2018-03-02 14,262
2018-03-02 15,324
2018-03-02 16,396
2018-03-02 17,544
2018-03-02 18,418
2018-03-02 19,552
2018-03-02 20,504
2018-03-02 21,420
2018-03-02 22,365
2018-03-02 23,304
2018-03-03 00,209
2018-03-03 01,153
2018-03-03 02,103
2018-03-03 03,54
2018-03-03 04,48
2018-03-03 05,42
2018-03-03 06,191
2018-03-03 07,465
2018-03-03 08,895
2018-03-03 09,1366
2018-03-03 10,1854
2018-03-03 11,2318
2018-03-03 12,2635
2018-03-03 13,2853
2018-03-03 14,2616
2018-03-03 15,2595
2018-03-03 16,2508
2018-03-03 17,2123
2018-03-03 18,1807
2018-03-03 19,1364
2018-03-03 20,862
2018-03-03 21,681
2018-03-03 22,578
2018-03-03 23,465
2018-03-04 00,431
2018-03-04 01,301
2018-03-04 02,192
2018-03-04 03,119
2018-03-04 04,56
2018-03-04 05,55
2018-03-04 06,108
2018-03-04 07,375
2018-03-04 08,711
2018-03-04 09,1179
2018-03-04 10,1699
2018-03-04 11,2098
2018-03-04 12,2355
2018-03-04 13,2346
2018-03-04 14,2259
2018-03-04 15,2325
2018-03-04 16,2236
2018-03-04 17,2019
2018-03-04 18,1563
2018-03-04 19,1237
2018-03-04 20,723
2018-03-04 21,532
2018-03-04 22,417
2018-03-04 23,310
2018-03-05 00,243
2018-03-05 01,83
2018-03-05 02,50
2018-03-05 03,30
2018-03-05 04,61
2018-03-05 05,320
2018-03-05 06,1167
2018-03-05 07,2389
2018-03-05 08,4172
2018-03-05 09,2723
2018-03-05 10,1464
2018-03-05 11,1269
2018-03-05 12,1571
2018-03-05 13,1536
2018-03-05 14,1711
2018-03-05 15,1892
2018-03-05 16,2427
2018-03-05 17,4098
2018-03-05 18,4037
2018-03-05 19,2481
2018-03-05 20,1612
2018-03-05 21,1096
2018-03-05 22,739
2018-03-05 23,393
2018-03-06 00,203
2018-03-06 01,86
2018-03-06 02,42
2018-03-06 03,39
2018-03-06 04,50
2018-03-06 05,347
2018-03-06 06,1306
2018-03-06 07,2888
2018-03-06 08,5108
2018-03-06 09,3349
2018-03-06 10,1732
2018-03-06 11,1652
2018-03-06 12,1895
2018-03-06 13,2057
2018-03-06 14,2168
2018-03-06 15,2244
2018-03-06 16,2716
2018-03-06 17,4411
2018-03-06 18,4183
2018-03-06 19,2670
2018-03-06 20,1752
2018-03-06 21,1261
2018-03-06 22,829
2018-03-06 23,433
2018-03-07 00,233
2018-03-07 01,78
2018-03-07 02,19
2018-03-07 03,19
2018-03-07 04,38
2018-03-07 05,155
2018-03-07 06,475
2018-03-07 07,981
2018-03-07 08,2093
2018-03-07 09,1007
2018-03-07 10,530
2018-03-07 11,384
2018-03-07 12,273
2018-03-07 13,203
2018-03-07 14,278
2018-03-07 15,220
2018-03-07 16,217
2018-03-07 17,205
2018-03-07 18,207
2018-03-07 19,169
2018-03-07 20,118
2018-03-07 21,141
2018-03-07 22,169
2018-03-07 23,123
2018-03-08 00,79
2018-03-08 01,40
2018-03-08 02,24
2018-03-08 03,16
2018-03-08 04,24
2018-03-08 05,139
2018-03-08 06,590
2018-03-08 07,1281
2018-03-08 08,2573
2018-03-08 09,1956
2018-03-08 10,1140
2018-03-08 11,970
2018-03-08 12,1285
2018-03-08 13,1288
2018-03-08 14,1459
2018-03-08 15,1597
2018-03-08 16,2108
2018-03-08 17,3315
2018-03-08 18,3107
2018-03-08 19,2145
2018-03-08 20,1463
2018-03-08 21,1029
2018-03-08 22,678
2018-03-08 23,440
2018-03-09 00,269
2018-03-09 01,122
2018-03-09 02,54
2018-03-09 03,29
2018-03-09 04,43
2018-03-09 05,261
2018-03-09 06,947
2018-03-09 07,2091
2018-03-09 08,3899
2018-03-09 09,2688
2018-03-09 10,1560
2018-03-09 11,1477
2018-03-09 12,1742
2018-03-09 13,1716
2018-03-09 14,1926
2018-03-09 15,1978
2018-03-09 16,2624
2018-03-09 17,3784
2018-03-09 18,3117
2018-03-09 19,1997
2018-03-09 20,1220
2018-03-09 21,810
2018-03-09 22,583
2018-03-09 23,500
2018-03-10 00,357
2018-03-10 01,193
2018-03-10 02,122
2018-03-10 03,78
2018-03-10 04,76
2018-03-10 05,70
2018-03-10 06,204
2018-03-10 07,463
2018-03-10 08,881
2018-03-10 09,1363
2018-03-10 10,1778
2018-03-10 11,2069
2018-03-10 12,2260
2018-03-10 13,2254
2018-03-10 14,2167
2018-03-10 15,2198
2018-03-10 16,2017
2018-03-10 17,1933
2018-03-10 18,1517
2018-03-10 19,1195
2018-03-10 20,930
2018-03-10 21,643
2018-03-10 22,574
2018-03-10 23,517
2018-03-11 00,322
2018-03-11 01,237
2018-03-11 03,167
2018-03-11 04,103
2018-03-11 05,67
2018-03-11 06,98
2018-03-11 07,267
2018-03-11 08,545
2018-03-11 09,910
2018-03-11 10,1402
2018-03-11 11,1794
2018-03-11 12,2187
2018-03-11 13,2417
2018-03-11 14,2527
2018-03-11 15,2725
2018-03-11 16,2796
2018-03-11 17,2625
2018-03-11 18,2454
2018-03-11 19,1544
2018-03-11 20,1128
2018-03-11 21,786
2018-03-11 22,579
2018-03-11 23,303
2018-03-12 00,184
2018-03-12 01,85
2018-03-12 02,53
2018-03-12 03,52
2018-03-12 04,51
2018-03-12 05,331
2018-03-12 06,1040
2018-03-12 07,2290
2018-03-12 08,4086
2018-03-12 09,2803
2018-03-12 10,1493
2018-03-12 11,1305
2018-03-12 12,1628
2018-03-12 13,1634
2018-03-12 14,1691
2018-03-12 15,1826
2018-03-12 16,2359
2018-03-12 17,4019
2018-03-12 18,4182
2018-03-12 19,2716
2018-03-12 20,1699
2018-03-12 21,998
2018-03-12 22,373
2018-03-12 23,170
2018-03-13 00,83
2018-03-13 01,38
2018-03-13 02,27
2018-03-13 03,14
2018-03-13 04,34
2018-03-13 05,147
2018-03-13 06,446
2018-03-13 07,657
2018-03-13 08,1312
2018-03-13 09,1146
2018-03-13 10,559
2018-03-13 11,546
2018-03-13 12,646
2018-03-13 13,719
2018-03-13 14,1122
2018-03-13 15,1501
2018-03-13 16,2074
2018-03-13 17,3241
2018-03-13 18,3494
2018-03-13 19,2225
2018-03-13 20,1521
2018-03-13 21,1001
2018-03-13 22,679
2018-03-13 23,406
2018-03-14 00,186
2018-03-14 01,87
2018-03-14 02,36
2018-03-14 03,39
2018-03-14 04,71
2018-03-14 05,354
2018-03-14 06,1014
2018-03-14 07,2199
2018-03-14 08,4084
2018-03-14 09,3066
2018-03-14 10,1538
2018-03-14 11,1385
2018-03-14 12,1649
2018-03-14 13,1638
2018-03-14 14,1681
2018-03-14 15,1878
2018-03-14 16,2261
2018-03-14 17,3877
2018-03-14 18,3765
2018-03-14 19,2230
2018-03-14 20,1386
2018-03-14 21,839
2018-03-14 22,564
2018-03-14 23,294
2018-03-15 00,174
2018-03-15 01,91
2018-03-15 02,43
2018-03-15 03,30
2018-03-15 04,49
2018-03-15 05,327
2018-03-15 06,1027
2018-03-15 07,2214
2018-03-15 08,4084
2018-03-15 09,2921
2018-03-15 10,1528
2018-03-15 11,1610
2018-03-15 12,1804
2018-03-15 13,1885
2018-03-15 14,1898
2018-03-15 15,2076
2018-03-15 16,2613
2018-03-15 17,4460
2018-03-15 18,4537
2018-03-15 19,2816
2018-03-15 20,1608
2018-03-15 21,1159
2018-03-15 22,846
2018-03-15 23,470
2018-03-16 00,254
2018-03-16 01,149
2018-03-16 02,75
2018-03-16 03,43
2018-03-16 04,44
2018-03-16 05,280
2018-03-16 06,940
2018-03-16 07,2061
2018-03-16 08,3944
2018-03-16 09,2965
2018-03-16 10,1572
2018-03-16 11,1478
2018-03-16 12,1629
2018-03-16 13,1728
2018-03-16 14,1822
2018-03-16 15,1999
2018-03-16 16,2502
2018-03-16 17,3687
2018-03-16 18,3245
2018-03-16 19,2102
2018-03-16 20,1179
2018-03-16 21,816
2018-03-16 22,615
2018-03-16 23,444
2018-03-17 00,309
2018-03-17 01,180
2018-03-17 02,111
2018-03-17 03,79
2018-03-17 04,47
2018-03-17 05,54
2018-03-17 06,162
2018-03-17 07,383
2018-03-17 08,823
2018-03-17 09,1307
2018-03-17 10,1700
2018-03-17 11,1966
2018-03-17 12,2386
2018-03-17 13,2372
2018-03-17 14,2495
2018-03-17 15,2517
2018-03-17 16,2435
2018-03-17 17,2184
2018-03-17 18,1969
2018-03-17 19,1676
2018-03-17 20,1053
2018-03-17 21,789
2018-03-17 22,633
2018-03-17 23,481
2018-03-18 00,341
2018-03-18 01,225
2018-03-18 02,159
2018-03-18 03,80
2018-03-18 04,74
2018-03-18 05,110
2018-03-18 06,183
2018-03-18 07,353
2018-03-18 08,688
2018-03-18 09,1082
2018-03-18 10,1485
2018-03-18 11,1791
2018-03-18 12,2035
2018-03-18 13,2125
2018-03-18 14,2161
2018-03-18 15,2201
2018-03-18 16,2221
2018-03-18 17,2142
2018-03-18 18,1946
2018-03-18 19,1446
2018-03-18 20,1019
2018-03-18 21,818
2018-03-18 22,510
2018-03-18 23,345
2018-03-19 00,168
2018-03-19 01,113
2018-03-19 02,77
2018-03-19 03,33
2018-03-19 04,51
2018-03-19 05,335
2018-03-19 06,1066
2018-03-19 07,2257
2018-03-19 08,4088
2018-03-19 09,2815
2018-03-19 10,1350
2018-03-19 11,1362
2018-03-19 12,1701
2018-03-19 13,1726
2018-03-19 14,1801
2018-03-19 15,2025
2018-03-19 16,2745
2018-03-19 17,4635
2018-03-19 18,4628
2018-03-19 19,2928
2018-03-19 20,1782
2018-03-19 21,1188
2018-03-19 22,735
2018-03-19 23,409
2018-03-20 00,187
2018-03-20 01,88
2018-03-20 02,38
2018-03-20 03,33
2018-03-20 04,62
2018-03-20 05,339
2018-03-20 06,1150
2018-03-20 07,2452
2018-03-20 08,4753
2018-03-20 09,3160
2018-03-20 10,1496
2018-03-20 11,1213
2018-03-20 12,1448
2018-03-20 13,1467
2018-03-20 14,1463
2018-03-20 15,1665
2018-03-20 16,2203
2018-03-20 17,3611
2018-03-20 18,3565
2018-03-20 19,2282
2018-03-20 20,1445
2018-03-20 21,1046
2018-03-20 22,699
2018-03-20 23,408
2018-03-21 00,231
2018-03-21 01,112
2018-03-21 02,62
2018-03-21 03,53
2018-03-21 04,53
2018-03-21 05,251
2018-03-21 06,611
2018-03-21 07,739
2018-03-21 08,870
2018-03-21 09,343
2018-03-21 10,126
2018-03-21 11,158
2018-03-21 12,220
2018-03-21 13,18
2018-03-22 06,294
2018-03-22 07,781
2018-03-22 08,1723
2018-03-22 09,1544
2018-03-22 10,898
2018-03-22 11,880
2018-03-22 12,1203
2018-03-22 13,1217
